dimension,value,designs,units_per_design,hit_rate,verdict
garment,black,35905,2.42,23.0%,USE THIS - robust to outlier removal
garment,charcoal,35171,1.6,9.4%,"avoid - inflated by one 7,863-unit design"
garment,white,33744,0.78,9.7%,avoid
garment,grey,17853,0.23,8.2%,avoid - worst measured
garment,natural,13949,0.72,12.7%,only for Weekend Forecast
garment,olive,449,16.39,32.7%,"small sample, outlier-driven - do not switch on this"
garment,navy,764,9.33,31.7%,"small sample, outlier-driven - do not switch on this"
print_inks,1 (mono),19410,0.81,12.2%,avoid
print_inks,4,23195,1.99,14.6%,USE THIS
print_inks,5,22091,2.11,15.4%,USE THIS
print_inks,7+,4903,1.47,16.5%,too many - diminishing
print_size,medium 10-25%,13508,2.73,14.3%,USE THIS
print_size,large 25-45%,29857,2.2,16.5%,acceptable
print_size,huge 45%+,94161,1.06,12.7%,AVOID - your most common mistake
combination,black + 4 inks + medium,874,6.32,24.0%,BEST MEASURED
combination,black + 5 inks + medium,1137,5.34,25.3%,BEST MEASURED
baseline,whole catalogue,140085,1.3,13.4%,reference
